etype	eid	timestamp	properties	linkedEntities
user	1	-1	{"twitterid":"177651718"}	{}
user	2	-1	{"twitterid":"103607473"}	{}
user	3	-1	{"twitterid":"288317450"}	{}
user	4	-1	{"twitterid":"68640782"}	{}
user	5	-1	{"twitterid":"199219885"}	{}
user	6	-1	{"twitterid":"600317970"}	{}
user	7	-1	{"twitterid":"24977427"}	{}
user	8	-1	{"twitterid":"250486804"}	{}
user	9	-1	{"twitterid":"56877077"}	{}
user	10	-1	{"twitterid":"139921611"}	{}
user	11	-1	{"twitterid":"124274009"}	{}
user	12	-1	{"twitterid":"36372507"}	{}
user	13	-1	{"twitterid":"53379103"}	{}
user	14	-1	{"twitterid":"39813152"}	{}
user	15	-1	{"twitterid":"225108001"}	{}
user	16	-1	{"twitterid":"33562658"}	{}
user	17	-1	{"twitterid":"18415656"}	{}
user	18	-1	{"twitterid":"93656875"}	{}
user	19	-1	{"twitterid":"371474475"}	{}
user	20	-1	{"twitterid":"44138541"}	{}
user	21	-1	{"twitterid":"251032925"}	{}
user	22	-1	{"twitterid":"28131377"}	{}
user	23	-1	{"twitterid":"72501939"}	{}
user	24	-1	{"twitterid":"12918842"}	{}
user	25	-1	{"twitterid":"220905534"}	{}
user	26	-1	{"twitterid":"99590212"}	{}
user	27	-1	{"twitterid":"31916101"}	{}
user	28	-1	{"twitterid":"86540359"}	{}
user	29	-1	{"twitterid":"14639177"}	{}
user	30	-1	{"twitterid":"125403211"}	{}
user	31	-1	{"twitterid":"189128780"}	{}
user	32	-1	{"twitterid":"45826125"}	{}
user	33	-1	{"twitterid":"232972367"}	{}
user	34	-1	{"twitterid":"73515089"}	{}
user	35	-1	{"twitterid":"247529554"}	{}
user	36	-1	{"twitterid":"247935905"}	{}
user	37	-1	{"twitterid":"26763349"}	{}
user	38	-1	{"twitterid":"14409814"}	{}
user	39	-1	{"twitterid":"55353433"}	{}
user	40	-1	{"twitterid":"49397850"}	{}
user	41	-1	{"twitterid":"23793679"}	{}
user	42	-1	{"twitterid":"187138140"}	{}
user	43	-1	{"twitterid":"58540126"}	{}
user	44	-1	{"twitterid":"22585439"}	{}
user	45	-1	{"twitterid":"175284321"}	{}
user	46	-1	{"twitterid":"91103330"}	{}
user	47	-1	{"twitterid":"413114467"}	{}
user	48	-1	{"twitterid":"241334516"}	{}
user	49	-1	{"twitterid":"237224039"}	{}
user	50	-1	{"twitterid":"46178410"}	{}
user	51	-1	{"twitterid":"108584978"}	{}
user	52	-1	{"twitterid":"18538606"}	{}
user	53	-1	{"twitterid":"45376750"}	{}
user	54	-1	{"twitterid":"14237809"}	{}
user	55	-1	{"twitterid":"120635506"}	{}
user	56	-1	{"twitterid":"450707571"}	{}
user	57	-1	{"twitterid":"10182772"}	{}
user	58	-1	{"twitterid":"343777397"}	{}
user	59	-1	{"twitterid":"81305718"}	{}
user	60	-1	{"twitterid":"97763452"}	{}
user	61	-1	{"twitterid":"149176446"}	{}
user	62	-1	{"twitterid":"84541461"}	{}
user	63	-1	{"twitterid":"45531264"}	{}
user	64	-1	{"twitterid":"142303362"}	{}
user	65	-1	{"twitterid":"15466627"}	{}
user	66	-1	{"twitterid":"591093893"}	{}
user	67	-1	{"twitterid":"727171206"}	{}
user	68	-1	{"twitterid":"177340551"}	{}
user	69	-1	{"twitterid":"296207724"}	{}
user	70	-1	{"twitterid":"15057034"}	{}
user	71	-1	{"twitterid":"71221271"}	{}
user	72	-1	{"twitterid":"298598540"}	{}
user	73	-1	{"twitterid":"188842126"}	{}
user	74	-1	{"twitterid":"97738895"}	{}
user	75	-1	{"twitterid":"73965716"}	{}
user	76	-1	{"twitterid":"32243444"}	{}
user	77	-1	{"twitterid":"102424727"}	{}
user	78	-1	{"twitterid":"97009821"}	{}
user	79	-1	{"twitterid":"39141535"}	{}
user	80	-1	{"twitterid":"424992929"}	{}
user	81	-1	{"twitterid":"77029538"}	{}
user	82	-1	{"twitterid":"15599677"}	{}
user	83	-1	{"twitterid":"64454822"}	{}
user	84	-1	{"twitterid":"112567665"}	{}
user	85	-1	{"twitterid":"249925374"}	{}
user	86	-1	{"twitterid":"22937771"}	{}
