etype	eid	properties	linkedEntities
user	1	{"twitterid":"177651718"}	
user	2	{"twitterid":"103607473"}	
user	3	{"twitterid":"288317450"}	
user	4	{"twitterid":"68640782"}	
user	5	{"twitterid":"199219885"}	
user	6	{"twitterid":"600317970"}	
user	7	{"twitterid":"24977427"}	
user	8	{"twitterid":"250486804"}	
user	9	{"twitterid":"56877077"}	
user	10	{"twitterid":"139921611"}	
user	11	{"twitterid":"124274009"}	
user	12	{"twitterid":"36372507"}	
user	13	{"twitterid":"53379103"}	
user	14	{"twitterid":"39813152"}	
user	15	{"twitterid":"225108001"}	
user	16	{"twitterid":"33562658"}	
user	17	{"twitterid":"18415656"}	
user	18	{"twitterid":"93656875"}	
user	19	{"twitterid":"371474475"}	
user	20	{"twitterid":"44138541"}	
user	21	{"twitterid":"251032925"}	
user	22	{"twitterid":"28131377"}	
user	23	{"twitterid":"72501939"}	
user	24	{"twitterid":"12918842"}	
user	25	{"twitterid":"220905534"}	
user	26	{"twitterid":"99590212"}	
user	27	{"twitterid":"31916101"}	
user	28	{"twitterid":"86540359"}	
user	29	{"twitterid":"14639177"}	
user	30	{"twitterid":"125403211"}	
user	31	{"twitterid":"189128780"}	
user	32	{"twitterid":"45826125"}	
user	33	{"twitterid":"232972367"}	
user	34	{"twitterid":"73515089"}	
user	35	{"twitterid":"247529554"}	
user	36	{"twitterid":"247935905"}	
user	37	{"twitterid":"26763349"}	
user	38	{"twitterid":"14409814"}	
user	39	{"twitterid":"55353433"}	
user	40	{"twitterid":"49397850"}	
user	41	{"twitterid":"23793679"}	
user	42	{"twitterid":"187138140"}	
user	43	{"twitterid":"58540126"}	
user	44	{"twitterid":"22585439"}	
user	45	{"twitterid":"175284321"}	
user	46	{"twitterid":"91103330"}	
user	47	{"twitterid":"413114467"}	
user	48	{"twitterid":"241334516"}	
user	49	{"twitterid":"237224039"}	
user	50	{"twitterid":"46178410"}	
user	51	{"twitterid":"108584978"}	
user	52	{"twitterid":"18538606"}	
user	53	{"twitterid":"45376750"}	
user	54	{"twitterid":"14237809"}	
user	55	{"twitterid":"120635506"}	
user	56	{"twitterid":"450707571"}	
user	57	{"twitterid":"10182772"}	
user	58	{"twitterid":"343777397"}	
user	59	{"twitterid":"81305718"}	
user	60	{"twitterid":"97763452"}	
user	61	{"twitterid":"149176446"}	
user	62	{"twitterid":"84541461"}	
user	63	{"twitterid":"45531264"}	
user	64	{"twitterid":"142303362"}	
user	65	{"twitterid":"15466627"}	
user	66	{"twitterid":"591093893"}	
user	67	{"twitterid":"727171206"}	
user	68	{"twitterid":"177340551"}	
user	69	{"twitterid":"296207724"}	
user	70	{"twitterid":"15057034"}	
user	71	{"twitterid":"71221271"}	
user	72	{"twitterid":"298598540"}	
user	73	{"twitterid":"188842126"}	
user	74	{"twitterid":"97738895"}	
user	75	{"twitterid":"73965716"}	
user	76	{"twitterid":"32243444"}	
user	77	{"twitterid":"102424727"}	
user	78	{"twitterid":"97009821"}	
user	79	{"twitterid":"39141535"}	
user	80	{"twitterid":"424992929"}	
user	81	{"twitterid":"77029538"}	
user	82	{"twitterid":"15599677"}	
user	83	{"twitterid":"64454822"}	
user	84	{"twitterid":"112567665"}	
user	85	{"twitterid":"249925374"}	
user	86	{"twitterid":"22937771"}	
user	87	{"twitterid":"150306989"}	
user	88	{"twitterid":"43671726"}	
user	89	{"twitterid":"23205069"}	
user	90	{"twitterid":"23036088"}	
user	91	{"twitterid":"94789820"}	
user	92	{"twitterid":"86507709"}	
user	93	{"twitterid":"513573056"}	
user	94	{"twitterid":"135430338"}	
user	95	{"twitterid":"39018692"}	
user	96	{"twitterid":"38969544"}	
user	97	{"twitterid":"47792329"}	
user	98	{"twitterid":"39174346"}	
user	99	{"twitterid":"261728106"}	
user	100	{"twitterid":"149528782"}	
user	101	{"twitterid":"34723192"}	
